Entry	Length	EC number	Keywords	Gene Ontology (molecular function)
A4Q9F1	832	6.3.2.-	ATP-binding;Cell projection;Cilium;Cytoplasm;Cytoskeleton;Flagellum;Ligase;Magnesium;Metal-binding;Microtubule;Nucleotide-binding;Reference proteome	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein-glycine ligase activity [GO:0070735]; protein-glycine ligase activity, initiating [GO:0070736]
A4Q9F3	704	6.3.2.-	Alternative splicing;ATP-binding;Cell projection;Cilium;Cytoplasm;Cytoskeleton;Ligase;Magnesium;Metal-binding;Microtubule;Nucleotide-binding;Reference proteome	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein-glycine ligase activity [GO:0070735]; protein-glycine ligase activity, elongating [GO:0070737]
A4Q9F4	727	6.3.2.-	Alternative splicing;ATP-binding;Cell projection;Cilium;Cytoplasm;Cytoskeleton;Ligase;Magnesium;Metal-binding;Microtubule;Nucleotide-binding;Reference proteome	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein-glutamic acid ligase activity, elongating [GO:0106438]; protein-glutamic acid ligase activity, initiating [GO:0106437]; tubulin-glutamic acid ligase activity [GO:0070740]
A4QB65	283	1.1.1.-; 1.1.1.24	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;NAD;Oxidoreductase	NAD+ binding [GO:0070403]; NADP binding [GO:0050661]; quinate 3-dehydrogenase (NAD+) activity [GO:0030266]; shikimate 3-dehydrogenase (NAD+) activity [GO:0052734]; shikimate 3-dehydrogenase (NADP+) activity [GO:0004764]
A4QPC6	514		Alternative splicing;Coiled coil;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	
A4QUT2	786	1.11.1.21	3D-structure;Direct protein sequencing;Disulfide bond;Glycoprotein;Heme;Hydrogen peroxide;Iron;Metal-binding;Oxidoreductase;Peroxidase;Reference proteome;Secreted;Signal	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
A4QXX4	499	2.7.11.22; 2.7.11.23	Activator;ATP-binding;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Nucleus;Reference proteome;Repressor;Serine/threonine-protein kinase;Transcription;Transcription regulation;Transferase	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]
A4R5S9	750	1.11.1.21	Cytoplasm;Heme;Hydrogen peroxide;Iron;Metal-binding;Oxidoreductase;Peroxidase;Reference proteome	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
A4RPM5	490	2.7.7.80; 2.8.1.11	ATP-binding;Cytoplasm;Metal-binding;Molybdenum cofactor biosynthesis;Multifunctional enzyme;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase;tRNA processing;Ubl conjugation pathway;Zinc	AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; molybdopterin-synthase adenylyltransferase activity [GO:0061605]; molybdopterin-synthase sulfurtransferase activity [GO:0061604]; thiosulfate-cyanide sulfurtransferase activity [GO:0004792]; URM1 activating enzyme activity [GO:0042292]
A4STF2	715	1.1.1.35; 4.2.1.17; 5.1.2.3; 5.3.3.8	Fatty acid metabolism;Isomerase;Lipid degradation;Lipid metabolism;Lyase;Multifunctional enzyme;NAD;Oxidoreductase	3-hydroxybutyryl-CoA epimerase activity [GO:0008692]; delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; enoyl-CoA hydratase activity [GO:0004300]; long-chain-3-hydroxyacyl-CoA dehydrogenase activity [GO:0016509]; NAD+ binding [GO:0070403]
A4U6V3	97		Alternative splicing;Disulfide bond;Glycoprotein;Host cell membrane;Host membrane;Host-virus interaction;Hydrogen ion transport;Inhibition of host autophagy by virus;Ion channel;Ion transport;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Signal-anchor;Transmembrane;Transmembrane helix;Transport;Viral ion channel;Virion	monoatomic ion channel activity [GO:0005216]; proton transmembrane transporter activity [GO:0015078]
A4U7A7	97		Alternative splicing;Disulfide bond;Glycoprotein;Host cell membrane;Host membrane;Host-virus interaction;Hydrogen ion transport;Inhibition of host autophagy by virus;Ion channel;Ion transport;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Signal-anchor;Transmembrane;Transmembrane helix;Transport;Viral ion channel;Virion	monoatomic ion channel activity [GO:0005216]; proton transmembrane transporter activity [GO:0015078]
A4UHT7	311	1.1.1.248	Alkaloid metabolism;NAD;NADP;Oxidoreductase	salutaridine reductase (NADPH) activity [GO:0047037]
A4UTP7	463		Acetylation;Activator;Alternative splicing;Cytoplasm;Developmental protein;Differentiation;DNA-binding;Isopeptide bond;Nucleus;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Ubl conjugation	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transcription cis-regulatory region binding [GO:0000976]
A4UUI3	631	3.6.5.-	Alternative splicing;Coiled coil;Cytoplasm;Golgi apparatus;GTP-binding;Hydrolase;Immunity;Innate immunity;Membrane;Nucleotide-binding;Nucleus;Reference proteome	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ubiquitin-protein transferase inhibitor activity [GO:0055105]
A4UVI1	444	1.14.19.44	Acetylation;Alternative splicing;Electron transport;Endoplasmic reticulum;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Membrane;Mitochondrion;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix;Transport	acyl-CoA (8-3)-desaturase activity [GO:0062076]
A4V8B4	387		Cytoplasm;Nucleus;Phosphoprotein;Reference proteome;Repeat	identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; protein serine/threonine kinase activator activity [GO:0043539]; transcription regulator activator activity [GO:0140537]
A4VBF0	138		Blood coagulation cascade inhibiting toxin;Direct protein sequencing;Disulfide bond;Hemostasis impairing toxin;Neurotoxin;Phospholipase A2 inhibitor;Platelet aggregation inhibiting toxin;Presynaptic neurotoxin;Secreted;Signal;Toxin	calcium ion binding [GO:0005509]; calcium-dependent phospholipase A2 activity [GO:0047498]; phospholipase A2 inhibitor activity [GO:0019834]; phospholipid binding [GO:0005543]; toxin activity [GO:0090729]
A4VCL2	528	2.7.11.1	Alternative splicing;ATP-binding;Disulfide bond;Glycoprotein;Golgi apparatus;Kinase;Manganese;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Secreted;Serine/threonine-protein kinase;Signal-anchor;Transferase;Transmembrane;Transmembrane helix	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
A4VFY3	476	2.7.2.4	Allosteric enzyme;ATP-binding;Cytoplasm;Kinase;Nucleotide-binding;Reference proteome;Transferase	aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]
A4VGK4	464	1.1.99.-; 1.1.99.39	FAD;Flavoprotein;Metal-binding;Oxidoreductase;Reference proteome;Zinc	FAD binding [GO:0071949]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
A4WFX4	729	1.1.1.35; 4.2.1.17; 5.1.2.3; 5.3.3.8	Fatty acid metabolism;Isomerase;Lipid degradation;Lipid metabolism;Lyase;Multifunctional enzyme;NAD;Oxidoreductase	3-hydroxybutyryl-CoA epimerase activity [GO:0008692]; delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; enoyl-CoA hydratase activity [GO:0004300]; long-chain-3-hydroxyacyl-CoA dehydrogenase activity [GO:0016509]; NAD+ binding [GO:0070403]
A4WYU7	777		3D-structure;DNA-binding;Magnesium;Metal-binding;Plasmid;RNA-binding	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
A4X3Q0	283	2.5.1.94	3D-structure;Chloride;Reference proteome;S-adenosyl-L-methionine;Transferase	transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]
A4XF23	402	4.2.1.8	3D-structure;Carbohydrate metabolism;Lyase;Magnesium;Metal-binding;Plasmid;Reference proteome	magnesium ion binding [GO:0000287]; mannonate dehydratase activity [GO:0008927]
A4XSM8	715	1.1.1.35; 4.2.1.17; 5.1.2.3; 5.3.3.8	Fatty acid metabolism;Isomerase;Lipid degradation;Lipid metabolism;Lyase;Multifunctional enzyme;NAD;Oxidoreductase	3-hydroxybutyryl-CoA epimerase activity [GO:0008692]; delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; enoyl-CoA hydratase activity [GO:0004300]; long-chain-3-hydroxyacyl-CoA dehydrogenase activity [GO:0016509]; NAD+ binding [GO:0070403]
A4YDR9	549	6.2.1.1; 6.2.1.17; 6.2.1.2; 6.2.1.40	ATP-binding;Fatty acid metabolism;Ligase;Lipid metabolism;Magnesium;Nucleotide-binding;Reference proteome	acetate-CoA ligase activity [GO:0003987]; ATP binding [GO:0005524]; medium-chain fatty acid-CoA ligase activity [GO:0031956]; propionate-CoA ligase activity [GO:0050218]
A4YDT1	564	6.2.1.1; 6.2.1.17; 6.2.1.2; 6.2.1.40	3D-structure;ATP-binding;Fatty acid metabolism;Ligase;Lipid metabolism;Magnesium;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix	acetate-CoA ligase activity [GO:0003987]; ATP binding [GO:0005524]; fatty-acyl-CoA synthase activity [GO:0004321]; medium-chain fatty acid-CoA ligase activity [GO:0031956]; propionate-CoA ligase activity [GO:0050218]
A4ZDL6	134		3D-structure;Actin-binding;Antibiotic;Antimicrobial;Apoptosis;Direct protein sequencing;Disulfide bond;Fungicide;Lectin;Mannose-binding;Plant defense;Secreted;Signal	actin binding [GO:0003779]; aspartic-type endopeptidase inhibitor activity [GO:0019828]; D-mannose binding [GO:0005537]
A4ZFB2	206		3D-structure;Direct protein sequencing;Host-virus interaction;Inhibition of host innate immune response by virus;Late protein;Reference proteome;Viral capsid assembly;Viral immunoevasion;Viral release from host cell	
A5A3E0	1075		ANK repeat;Coiled coil;Cytoplasm;Proteomics identification;Reference proteome;Repeat	protein kinase binding [GO:0019901]; structural constituent of postsynaptic actin cytoskeleton [GO:0098973]
A5A6H8	266		Cell membrane;Disulfide bond;Endosome;Glycoprotein;Golgi apparatus;Membrane;Reference proteome;Secreted;Signal-anchor;Transmembrane;Transmembrane helix	amyloid-beta binding [GO:0001540]; ATP binding [GO:0005524]
A5A6I6	698		Disulfide bond;Glycoprotein;Ion transport;Iron;Iron transport;Metal-binding;Methylation;Phosphoprotein;Reference proteome;Repeat;Secreted;Signal;Transport	enzyme binding [GO:0019899]; ferric iron binding [GO:0008199]; ferrous iron binding [GO:0008198]; iron chaperone activity [GO:0034986]; transferrin receptor binding [GO:1990459]; transmembrane transporter binding [GO:0044325]
A5A6J1	451	3.6.5.-	Acetylation;Cell projection;Cilium;Cytoplasm;Cytoskeleton;Flagellum;GTP-binding;Hydrolase;Isopeptide bond;Magnesium;Metal-binding;Methylation;Microtubule;Nitration;Nucleotide-binding;Phosphoprotein;Reference proteome	GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein-containing complex binding [GO:0044877]; structural constituent of cytoskeleton [GO:0005200]
A5A6J2	614	3.6.4.13	Acetylation;ATP-binding;Biological rhythms;Cytoplasm;Helicase;Hydrolase;Isopeptide bond;Methylation;mRNA processing;mRNA splicing;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;RNA-binding;Spliceosome;Transcription;Transcription regulation;Ubl conjugation	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; nuclear androgen receptor binding [GO:0050681]; promoter-specific chromatin binding [GO:1990841]; ribonucleoprotein complex binding [GO:0043021]; RNA helicase activity [GO:0003724]
A5A6J8	303		Cell adhesion;Cell membrane;Disulfide bond;Glutathionylation;Glycoprotein;Immunity;Innate immunity;Ion transport;Membrane;Phosphoprotein;Potassium;Potassium transport;Reference proteome;Signal-anchor;Sodium;Sodium transport;Sodium/potassium transport;Transmembrane;Transmembrane helix;Transport	ATPase activator activity [GO:0001671]; ATPase binding [GO:0051117]; P-type sodium:potassium-exchanging transporter activity [GO:0005391]; protein kinase binding [GO:0019901]; protein-macromolecule adaptor activity [GO:0030674]; transporter activator activity [GO:0141109]
A5A6K9	733		Acetylation;ATP-binding;Cell membrane;Chaperone;Cytoplasm;Membrane;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;S-nitrosylation;Stress response;Ubl conjugation	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]
A5A6L1	381		Cell adhesion;Chemotaxis;Disulfide bond;Growth factor binding;Heparin-binding;Phosphoprotein;Reference proteome;Secreted;Signal	extracellular matrix binding [GO:0050840]; growth factor binding [GO:0019838]; heparin binding [GO:0008201]; integrin binding [GO:0005178]
A5A6M2	346		Acetylation;Adaptive immunity;Annexin;Calcium;Calcium/phospholipid-binding;Cell membrane;Cell projection;Cilium;Cytoplasm;Cytoplasmic vesicle;Disulfide bond;Endosome;Immunity;Inflammatory response;Innate immunity;Isopeptide bond;Membrane;Metal-binding;Nucleus;Phospholipase A2 inhibitor;Phosphoprotein;Reference proteome;Repeat;Secreted;Ubl conjugation	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; phosphatidylserine binding [GO:0001786]; phospholipase A2 inhibitor activity [GO:0019834]
A5A6M3	391		Acetylation;Activator;Glycoprotein;Isopeptide bond;Methylation;mRNA processing;mRNA splicing;Nucleus;Phosphoprotein;Reference proteome;Repressor;Ribonucleoprotein;RNA-binding;Spliceosome;Transcription;Tumor suppressor;Ubl conjugation	chromatin binding [GO:0003682]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
A5A6N6	167		Cell membrane;Cytoplasm;Glycoprotein;Golgi apparatus;Membrane;Nucleus;Reference proteome;Transmembrane;Transmembrane helix	integrin binding [GO:0005178]; kinase binding [GO:0019900]
A5A6P2	395	3.5.1.-; 3.5.1.23	Disulfide bond;Glycoprotein;Hydrolase;Lipid metabolism;Lysosome;Reference proteome;Secreted;Signal;Sphingolipid metabolism;Zymogen	fatty acid amide hydrolase activity [GO:0017064]; N-acylsphingosine amidohydrolase activity [GO:0017040]
A5A6P7	580		Cell membrane;Disulfide bond;Glycoprotein;GPI-anchor;Heparan sulfate;Lipoprotein;Membrane;Phosphoprotein;Protease inhibitor;Proteoglycan;Pyrrolidone carboxylic acid;Reference proteome;Signal	peptidyl-dipeptidase inhibitor activity [GO:0060422]
A5A6S6	295		Calcium;Ion channel;Ion transport;Membrane;Metal-binding;Nucleus;Potassium;Potassium channel;Potassium transport;Reference proteome;Sarcoplasmic reticulum;Transmembrane;Transmembrane helix;Transport	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; potassium channel activity [GO:0005267]
A5A8G0	881	4.2.3.-; 4.2.3.103; 4.2.3.19; 4.2.3.229; 4.2.3.29; 5.5.1.13	Chloroplast;Isomerase;Lyase;Magnesium;Metal-binding;Plastid;Reference proteome;Transit peptide	ent-copalyl diphosphate synthase activity [GO:0009905]; ent-isokaurene synthase activity [GO:0034281]; ent-kaurene synthase activity [GO:0009899]; ent-sandaracopimaradiene synthase activity [GO:0034280]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]
A5CAL1	313	1.1.1.-; 1.1.1.26; 1.1.1.28; 1.1.1.79	3D-structure;NAD;NADP;Oxidoreductase;Reference proteome	D-lactate dehydrogenase activity [GO:0008720]; glyoxylate reductase (NADH) activity [GO:0047964]; glyoxylate reductase (NADPH) activity [GO:0030267]; hydroxypyruvate reductase (NADPH) activity [GO:0120509]; hydroxypyruvate reductase [NAD(P)H] activity [GO:0016618]; NAD binding [GO:0051287]
A5D791	1115	2.7.10.2; 2.7.11.1	3D-structure;ADP-ribosylation;ATP-binding;Endoplasmic reticulum;Glycoprotein;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Serine/threonine-protein kinase;Signal;Stress response;Transferase;Translation regulation;Transmembrane;Transmembrane helix;Tyrosine-protein kinase;Unfolded protein response	ATP binding [GO:0005524]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; identical protein binding [GO:0042802]; misfolded protein binding [GO:0051787]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]
A5D7B7	760	3.4.14.5; 3.4.21.-; 3.4.21.26	Angiogenesis;Apoptosis;Cell adhesion;Cell junction;Cell membrane;Cell projection;Cleavage on pair of basic residues;Coiled coil;Direct protein sequencing;Disulfide bond;Glycoprotein;Hydrolase;Membrane;Protease;Reference proteome;Secreted;Serine protease;Signal-anchor;Transmembrane;Transmembrane helix	dipeptidyl-peptidase activity [GO:0008239]; integrin binding [GO:0005178]; protease binding [GO:0002020]; protein homodimerization activity [GO:0042803]; serine-type endopeptidase activity [GO:0004252]
A5D7D1	911		Acetylation;Actin-binding;Calcium;Cell junction;Cytoplasm;Cytoskeleton;Metal-binding;Nucleus;Phosphoprotein;Protein transport;Reference proteome;Repeat;Transport	actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; transcription coactivator activity [GO:0003713]
A5D7F8	840	2.3.2.27	Cell projection;Cytoplasm;Golgi apparatus;Metal-binding;Phosphoprotein;Reference proteome;Repeat;SH3 domain;Transferase;Ubl conjugation;Ubl conjugation pathway;Zinc;Zinc-finger	MAP-kinase scaffold activity [GO:0005078]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
A5D7H5	703		ADP-ribosylation;Cell projection;Coiled coil;Cytoplasm;mRNA processing;mRNA splicing;mRNA transport;Nonsense-mediated mRNA decay;Nucleus;Phosphoprotein;Reference proteome;RNA-binding;Spliceosome;Stress response;Translation regulation;Transport;Ubl conjugation	identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; ubiquitin protein ligase binding [GO:0031625]
A5D7I4	746	2.4.1.225	Disulfide bond;Endoplasmic reticulum;Glycoprotein;Glycosyltransferase;Golgi apparatus;Manganese;Membrane;Metal-binding;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix	acetylglucosaminyltransferase activity [GO:0008375]; glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity [GO:0050508]; glucuronosyltransferase activity [GO:0015020]; metal ion binding [GO:0046872]; N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity [GO:0050509]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]
A5D7L5	490		Cell membrane;Endosome;Glycoprotein;Ion transport;Lysosome;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport;Ubl conjugation;Zinc;Zinc transport	cadmium ion transmembrane transporter activity [GO:0015086]; iron ion transmembrane transporter activity [GO:0005381]; manganese ion transmembrane transporter activity [GO:0005384]; monoatomic anion:monoatomic cation symporter activity [GO:0015296]; monoatomic cation:bicarbonate symporter activity [GO:0140410]; zinc ion transmembrane transporter activity [GO:0005385]
A5D8Q0	488	2.3.2.27	Alternative splicing;Apoptosis;Cytoplasm;Developmental protein;Metal-binding;Nucleus;Protease inhibitor;Reference proteome;Repeat;Thiol protease inhibitor;Transferase;Ubl conjugation pathway;Wnt signaling pathway;Zinc;Zinc-finger	cysteine-type endopeptidase inhibitor activity [GO:0004869]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
A5D8S5	867	2.3.2.27	Cell projection;Cytoplasm;Golgi apparatus;Metal-binding;Reference proteome;Repeat;SH3 domain;Transferase;Ubl conjugation;Ubl conjugation pathway;Zinc;Zinc-finger	MAP-kinase scaffold activity [GO:0005078]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
A5D8T8	446		Alternative splicing;Disulfide bond;EGF-like domain;Endoplasmic reticulum;Endosome;Glycoprotein;Golgi apparatus;Lectin;Reference proteome;Secreted;Signal	polysaccharide binding [GO:0030247]
A5D8V6	355		Endosome;Membrane;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transport	calcium-dependent protein binding [GO:0048306]
A5D8V7	595		3D-structure;Alternative splicing;Cell projection;Ciliopathy;Cilium biogenesis/degradation;Coiled coil;Cytoplasm;Cytoskeleton;Kartagener syndrome;Primary ciliary dyskinesia;Proteomics identification;Reference proteome	
A5D8W1	941		Alternative splicing;Cell projection;Cilium;Differentiation;Flagellum;Olfaction;Proteomics identification;Reference proteome;Sensory transduction;Spermatogenesis	
A5D979	487	3.4.24.-	Acetylation;Autocatalytic cleavage;Chromosome;DNA damage;DNA repair;Hydrolase;Isopeptide bond;Metal-binding;Metalloprotease;Nucleus;Phosphoprotein;Protease;Reference proteome;Ubl conjugation;Zinc;Zinc-finger	double-stranded DNA binding [GO:0003690]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; metalloendopeptidase activity [GO:0004222]; methionine adenosyltransferase activity [GO:0004478]; polyubiquitin modification-dependent protein binding [GO:0031593]; single-stranded DNA binding [GO:0003697]; ubiquitin binding [GO:0043130]; zinc ion binding [GO:0008270]
A5D9M6	1128		Acetylation;Alternative splicing;Apoptosis;Chaperone;Chromatin regulator;Cytoplasm;Differentiation;Immunity;Nucleus;Phosphoprotein;Reference proteome;Repeat;Secreted;Spermatogenesis;Transport	misfolded protein binding [GO:0051787]; polyubiquitin modification-dependent protein binding [GO:0031593]; proteasome binding [GO:0070628]; ribosome binding [GO:0043022]
A5F120	477		Antiport;Cell inner membrane;Cell membrane;Direct protein sequencing;Ion transport;Membrane;Sodium;Sodium transport;Transmembrane;Transmembrane helix;Transport	antiporter activity [GO:0015297]
A5F465	723	1.1.1.35; 4.2.1.17; 5.1.2.3; 5.3.3.8	Fatty acid metabolism;Isomerase;Lipid degradation;Lipid metabolism;Lyase;Multifunctional enzyme;NAD;Oxidoreductase	3-hydroxybutyryl-CoA epimerase activity [GO:0008692]; delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; enoyl-CoA hydratase activity [GO:0004300]; long-chain-3-hydroxyacyl-CoA dehydrogenase activity [GO:0016509]; NAD+ binding [GO:0070403]
A5F5X0	415	7.2.1.1	3D-structure;Cell inner membrane;Cell membrane;Flavoprotein;FMN;Ion transport;Membrane;NAD;Phosphoprotein;Sodium;Sodium transport;Translocase;Transmembrane;Transmembrane helix;Transport;Ubiquinone	FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; riboflavin binding [GO:1902444]
A5F5Y4	408	7.2.1.1	2Fe-2S;3D-structure;Cell inner membrane;Cell membrane;FAD;Flavoprotein;Ion transport;Iron;Iron-sulfur;Membrane;Metal-binding;NAD;Sodium;Sodium transport;Translocase;Transmembrane;Transmembrane helix;Transport;Ubiquinone	2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]
A5FBJ5	681	3.2.1.216	3D-structure;Carbohydrate metabolism;Glycosidase;Hydrolase;Periplasm;Signal	carbohydrate binding [GO:0030246]; glycosyltransferase activity [GO:0016757]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]
A5GFS8	243		Acetylation;Coiled coil;Endoplasmic reticulum;Isopeptide bond;Membrane;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix;Ubl conjugation;Unfolded protein response	beta-tubulin binding [GO:0048487]; enzyme binding [GO:0019899]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein-membrane adaptor activity [GO:0043495]
A5GFW1	402	2.7.11.1	ATP-binding;Cell cycle;Cell division;Cell membrane;Cell projection;Cilium;Cilium biogenesis/degradation;Cytoplasm;Cytoskeleton;Isopeptide bond;Kinase;Membrane;Microtubule;Mitosis;Nucleotide-binding;Phosphoprotein;Proto-oncogene;Reference proteome;Serine/threonine-protein kinase;Transferase;Ubl conjugation	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
A5GFZ6	455	2.7.7.80; 2.8.1.11	ATP-binding;Cytoplasm;Disulfide bond;Metal-binding;Molybdenum cofactor biosynthesis;Multifunctional enzyme;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase;tRNA processing;Zinc	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; molybdopterin-synthase adenylyltransferase activity [GO:0061605]; molybdopterin-synthase sulfurtransferase activity [GO:0061604]; nucleotidyltransferase activity [GO:0016779]; sulfurtransferase activity [GO:0016783]; thiosulfate-cyanide sulfurtransferase activity [GO:0004792]; URM1 activating enzyme activity [GO:0042292]
A5GZW8	159		3D-structure;Electron transport;Heme;Iron;Membrane;Metal-binding;Mitochondrion;Mitochondrion inner membrane;Reference proteome;Transit peptide;Transmembrane;Transmembrane helix;Transport;Tricarboxylic acid cycle	heme binding [GO:0020037]; metal ion binding [GO:0046872]; protein-membrane adaptor activity [GO:0043495]; ubiquinone binding [GO:0048039]
A5H447	663		Cell adhesion;Cell junction;Cytoplasm;Cytoskeleton;LIM domain;Metal-binding;Reference proteome;Repeat;Transcription;Transcription regulation;Zinc	DNA-binding transcription factor binding [GO:0140297]; metal ion binding [GO:0046872]; transcription coregulator activity [GO:0003712]
A5H8G4	367	1.11.1.7	Calcium;Disulfide bond;Glycoprotein;Heme;Hydrogen peroxide;Iron;Metal-binding;Oxidoreductase;Peroxidase;Pyrrolidone carboxylic acid;Reference proteome;Secreted;Signal;Vacuole	heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]
A5HAK0	149	3.1.27.-	3D-structure;Angiogenesis;Antibiotic;Antimicrobial;Developmental protein;Differentiation;Direct protein sequencing;Disulfide bond;Endonuclease;Hydrolase;Immunity;Nuclease;Pyrrolidone carboxylic acid;Reference proteome;Secreted;Signal	endonuclease activity [GO:0004519]; RNA binding [GO:0003723]; RNA nuclease activity [GO:0004540]
A5HBE1	415		Alternative initiation;Alternative splicing;Capsid protein;DNA-binding;Host endoplasmic reticulum;Host membrane;Host nucleus;Late protein;Lipoprotein;Membrane;Myristate;Reference proteome;Viral penetration into host nucleus;Virion;Virus entry into host cell	DNA binding [GO:0003677]
